Reference, Quantity, Value, Footprint, Datasheet, Digikey Part Number, Manufacturer_Name, Manufacturer_Part_Number, URL, Part #, Voltage, Allied_Number, Description, RS Part Number, RS Price/Stock, TR PN, Tube PN, Spice_Model, Spice_Netlist_Enabled, Spice_Primitive
A1 ,1,"Pololu_Breakout_DRV8825","Module:Pololu_Breakout-16_15.2x20.3mm","https://www.pololu.com/product/2982"
C1 C15 ,2,"0.01uF","Capacitor_SMD:C_0805_2012Metric","~","311-1136-1-ND","Yageo","CC0805KRX7R9BB103","https://www.digikey.com/product-detail/en/yageo/CC0805KRX7R9BB103/311-1136-1-ND/303046","","","","","","","","","","",""
C17 ,1,"10uF","Capacitor_Tantalum_SMD:CP_EIA-7343-31_Kemet-D","~","399-8361-1-ND","Kemet","T491D106K050AT","https://www.digikey.com/product-detail/en/kemet/T491D106K050AT/399-8361-1-ND/3472084","","35v","","","","","","","","",""
C19 ,1,"22uF","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","1276-6687-1-ND","Samsung","CL21A226KQCLRNC","https://www.digikey.com.au/product-detail/en/samsung-electro-mechanics/CL21A226KQCLRNC/1276-6687-1-ND/5961546","","","","","","","","","","",""
C21 ,1,"47uF","Capacitor_Tantalum_SMD:CP_EIA-3528-21_Kemet-B","~","478-1692-1-ND","AVX","TAJB476K006RNJ","https://www.digikey.com/product-detail/en/avx-corporation/TAJB476K006RNJ/478-1692-1-ND/564724","","10v","","","","","","","","",""
C24 C26 C3 C9 C10 C11 C4 C16 C18 C20 C23 C22 ,12,"0.1uF","Capacitor_SMD:C_0805_2012Metric","~","311-1140-1-ND","Yageo","CC0805KRX7R9BB104","https://www.digikey.com.au/product-detail/en/yageo/CC0805KRX7R9BB104/311-1140-1-ND/303050","","","","","","","","","","",""
C25 C27 C2 ,3,"1uF","Capacitor_SMD:C_0805_2012Metric","~","311-1365-1-ND","Yageo","CC0805KKX7R7BB105","https://www.digikey.com/product-detail/en/yageo/CC0805KKX7R7BB105/311-1365-1-ND/2103149","","","","","","","","","","",""
C6 C12 C13 C14 C7 C5 ,6,"0.22uF","Capacitor_SMD:C_0805_2012Metric","~","1276-1284-1-ND","Samsung","CL21B224KOCNNNC","https://www.digikey.com/product-detail/en/samsung-electro-mechanics-america-inc/CL21B224KOCNNNC/1276-1284-1-ND/3889370","","","","","","","","","","",""
C8 ,1,"470pf","Capacitor_SMD:C_0805_2012Metric","~","311-1124-1-ND","Yageo","CC0805KRX7R9BB471","https://www.digikey.com/product-detail/en/yageo/CC0805KRX7R9BB471/311-1124-1-ND/303034","","","","","","","","","","",""
D12 D11 D5 D6 D18 D17 D19 D16 ,8,"D","Diode_SMD:D_SOD-323","~","1N4448WXTPMSCT-ND","MCC","1N4448WX-TP","https://www.digikey.com/product-detail/en/micro-commercial-co/1N4448WX-TP/1N4448WXTPMSCT-ND/789338","","","","","","","","","","",""
D13 D20 ,2,"D_Zener","Diode_SMD:D_SOD-323","~","MM3Z5V1ST1GOSCT-ND","On Semi","MM3Z5V1ST1G","https://www.digikey.com/product-detail/en/on-semiconductor/MM3Z5V1ST1G/MM3Z5V1ST1GOSCT-ND/964547","MM3Z5V1ST1G","","","","","","","","","",""
D14 ,1,"B130-13-F","Diode_SMD:D_SMA","https://www.mouser.com/datasheet/2/115/ds13002-60388.pdf","B130-FDICT-ND","Diodes Inc","B130-13-F","https://www.digikey.com.au/product-detail/en/diodes-incorporated/B130-13-F/B130-FDICT-ND/815318","","","","","","","","","","",""
D15 ,1,"1SMB5919BT3G","Diode_SMD:D_SMB","~","1SMB5919BT3GOSCT-ND ","On Semi","1SMB5919BT3G","https://www.digikey.com.au/product-detail/en/on-semiconductor/1SMB5919BT3G/1SMB5919BT3GOSCT-ND/917722","","","","","","","","","","",""
D4 D3 D8 D7 D1 D2 D9 D10 ,8,"LED","LED_SMD:LED_0805_2012Metric","~","475-1415-1-ND","Osram","LH R974-LP-1","https://www.digikey.com/product-detail/en/osram-opto-semiconductors-inc/LH-R974-LP-1/475-1415-1-ND/1802604","","","","","","","","","","",""
F1 F2 ,2,"Polyfuse","Fuse:Fuse_1812_4532Metric","~","507-1361-1-ND","Bel Fuse","0ZCC0050FF2C","https://www.digikey.com.au/product-detail/en/bel-fuse-inc/0ZCC0050FF2C/507-1361-1-ND/1560228","","","","","","","","","","",""
IC3 ,1,"Trig Cond Socket","Package_DIP:DIP-8_W7.62mm_Socket","~"
J1 J6 J7 ,3,"Conn_01x05","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","~"
J2 ,1,"Conn_01x06","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","~"
J3 ,1,"Conn_01x02","TerminalBlock_Phoenix:TerminalBlock_Phoenix_PT-1,5-2-5.0-H_1x02_P5.00mm_Horizontal","~"
J4 ,1,"Conn_02x20_Counter_Clockwise","Connector_IDC:IDC-Header_2x20_P2.54mm_Vertical","~"
J5 ,1,"Conn_01x04","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~"
J8 ,1,"Conn_01x03","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","","","","","","","","","","","","","Conn_01x03","Y","J"
JP1 ,1,"Ignition Voltage","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","952-2263-ND ","Harwin Inc","M20-9990345","https://www.digikey.com.au/products/en?keywords=M20-9990345","","","","","","","","","","",""
JP2 JP3 ,2,"VR-HALL","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","952-2263-ND ","Harwin Inc","M20-9990345","https://www.digikey.com.au/products/en?keywords=M20-9990345","","","","","","","","","","",""
JP5 JP4 ,2,"PULL-UP","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","952-2261-ND ","Harwin Inc","M20-9990245 ","https://www.digikey.com.au/products/en?keywords=M20-9990245","","","","","","","","","","",""
JP7 JP8 JP9 JP10 JP6 ,5,"SolderJumper_2_Bridged","Jumper:SolderJumper-2_P1.3mm_Bridged_Pad1.0x1.5mm","~"
Q1 Q3 Q2 ,3,"SSM3K357R","Package_TO_SOT_SMD:SOT-23","https://www.mouser.com/datasheet/2/408/SSM3K357R_datasheet_en_20180124-1316146.pdf","SSM3K357RLFCT-ND ","Toshiba","SSM3K357R","https://www.digikey.com.au/product-detail/en/toshiba-semiconductor-and-storage/SSM3K357RLF/SSM3K357RLFCT-ND/8611183","","","","","","","","","","",""
R1 R2 R15 R16 R3 R4 R19 R20 R50 R49 R61 R60 ,12,"100k","Resistor_SMD:R_0805_2012Metric","~","311-100KCRCT-ND","Yageo","RC0805FR-07100KL","https://www.digikey.com/product-detail/en/yageo/RC0805FR-07100KL/311-100KCRCT-ND/730491","","","","","","","","","","",""
R10 R9 R24 R23 R11 R12 R25 R26 R33 ,9,"2.4k","Resistor_SMD:R_0805_2012Metric","~","311-2.40KCRCT-ND","Yageo","RC0805FR-072K4L","https://www.digikey.com/product-detail/en/yageo/RC0805FR-072K4L/311-2.40KCRCT-ND/730637","","","","","","","","","","",""
R13 R14 R27 R28 ,4,"10R","Resistor_SMD:R_0805_2012Metric","~","311-10.0CRCT-ND","Yageo","RC0805FR-0710RL","https://www.digikey.com/product-detail/en/yageo/RC0805FR-0710RL/311-10.0CRCT-ND/730481","","","","","","","","","","",""
R30 ,1,"3.9k","Resistor_SMD:R_0805_2012Metric","~","311-3.90KCRCT-ND","Yageo","RC0805FR-073K9L","https://www.digikey.com/product-detail/en/yageo/RC0805FR-073K9L/311-3.90KCRCT-ND/730785","","","","","","","","","","",""
R34 R31 R38 R39 R40 R32 R63 R62 ,8,"470R","Resistor_SMD:R_0805_2012Metric","~","P470CCT-ND","Panasonic","ERJ-6ENF4700V","https://www.digikey.com/product-detail/en/panasonic-electronic-components/ERJ-6ENF4700V/P470CCT-ND/1746871","","","","","","","","","","",""
R35 R36 ,2,"2.49k","Resistor_SMD:R_0805_2012Metric","~","YAG1854CT-ND","Yageo","RT0805BRD072K49L","https://www.digikey.com/product-detail/en/yageo/RT0805BRD072K49L/YAG1854CT-ND/5139302","","","","","","","","","","",""
R43 R44 ,2,"220R","Resistor_SMD:R_0805_2012Metric","~","311-220CRCT-ND","Yageo","RC0805FR-07220RL","https://www.digikey.com/product-detail/en/yageo/RC0805FR-07220RL/311-220CRCT-ND/730688","","","","","","","","","","",""
R45 R51 ,2,"10k","Resistor_SMD:R_0805_2012Metric","~","311-10KARCT-ND","Yageo","RC0805JR-0710KL","https://www.digikey.com/product-detail/en/yageo/RC0805JR-0710KL/311-10KARCT-ND/731188","","","","","","","","","","",""
R46 ,1,"120R","Resistor_SMD:R_0805_2012Metric","~","311-120CRCT-ND","Yageo","RC0805FR-07120RL","https://www.digikey.com/product-detail/en/yageo/RC0805FR-07120RL/311-120CRCT-ND/730522","","","","","","","","","","",""
R5 R6 R17 R18 R7 R8 R21 R22 R29 R37 R41 R42 R47 R48 R56 R57 R53 ,17,"1k","Resistor_SMD:R_0805_2012Metric","~","311-1.00KCRCT-ND","Yageo","RC0805FR-071KL","https://www.digikey.com/product-detail/en/yageo/RC0805FR-071KL/311-1.00KCRCT-ND/730391","","","","","","","","","","",""
R52 ,1,"2k","Resistor_SMD:R_0805_2012Metric","~","311-2.00KCRCT-ND","Yageo","RC0805FR-072KL","https://www.digikey.com/product-detail/en/yageo/RC0805FR-072KL/311-2.00KCRCT-ND/730611","","","","","","","","","","",""
RV1 ,1,"Varistor","Varistor:RV_Disc_D15.5mm_W4.7mm_P7.5mm","~","MOV-14D220K-ND","Bournes Inc","MOV-14D220K","https://www.digikey.com.au/product-detail/en/bourns-inc/MOV-14D220K/MOV-14D220K-ND/2799109","","","","","","","","","","",""
S1 ,1,"AYZ0202AGRLC","Misc:AYZ0202AGRLC","","401-2013-1-ND","C & K COMPONENTS","AYZ0202AGRLC","https://www.digikey.com.au/product-detail/en/c-k/AYZ0202AGRLC/401-2013-1-ND/1640122","","","70417470","AYZ0202AGRLC (Slide Switches)","7931504P","http://uk.rs-online.com/web/p/products/7931504P","","","","",""
U1 U3 U7 U9 ,4,"VNLD5090","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","https://www.st.com/resource/en/datasheet/vnld5090-e.pdf","497-18682-ND","STMicro","VNLD5090-E","https://www.digikey.com.au/products/en?keywords=VNLD5090-E","","","","","","","","","","",""
U2 U4 ,2,"TC4424A","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","","TC4424AVOA-ND","Microchip","TC4424AVOA","https://www.digikey.com/product-detail/en/microchip-technology/TC4424AVOA/TC4424AVOA-ND/1098908","","","","","","","","","","",""
U5 ,1,"MPX4250","Misc:MPX4250","","MPX4250AP-ND","NXP","MPX4250AP","https://www.digikey.com.au/product-detail/en/nxp-usa-inc/MPX4250AP/MPX4250AP-ND/464053","","","","","","","","","","",""
U6 ,1,"SP720","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm","https://m.littelfuse.com/~/media/electronics/datasheets/tvs_diode_arrays/littelfuse_tvs_diode_array_sp720_datasheet.pdf.pdf","F3162CT-ND","Littelfuse","SP720ABTG","https://www.digikey.com/product-detail/en/littelfuse-inc/SP720ABTG/F3162CT-ND/1984458","","","","","","","","","","",""
U8 ,1,"LM2940S-5.0/NOPB","Package_TO_SOT_SMD:TO-263-3_TabPin2","http://www.ti.com/lit/ds/symlink/lm2940-n.pdf","LM2940S-5.0/NOPB-ND","TI","LM2940S-5.0/NOPB","https://www.digikey.com.au/products/en?keywords=LM2940S-5.0%2FNOPB","","","","","","","LM2940SX-5.0/NOPB","LM2940S-5.0/NOPB","","",""
XA1 ,1,"Arduino_Mega2560_Shield","Shields:Arduino_Mega2560_Shield_IO_Only",""